GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,COMPLEXITY,METHOD_MISSED,METHOD_COVERED
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,1,100,6,136,0,8,1,100,2,35,0.945945946,94.5945946,0,15,15,0,11
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,1,100,6,242,0,18,1,100,2,61,0.968253968,96.8253968,0,26,26,0,17
Apache Commons Configuration,org.apache.commons.configuration2.reloading,VFSFileHandlerReloadingDetector,1,100,23,99,0,8,1,100,4,27,0.870967742,87.0967742,0,10,10,0,6
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,1,100,3,115,1,13,0.928571429,92.8571429,0,27,1,100,1,17,18,0,11
Apache Commons Configuration,org.apache.commons.configuration2.tree,OverrideCombiner,1,100,0,147,1,19,0.95,95,0,29,1,100,1,13,14,0,4
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,1,100,0,174,1,21,0.954545455,95.4545455,0,45,1,100,1,23,24,0,13
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystem,1,100,4,22,0,2,1,100,2,7,0.777777778,77.7777778,1,6,7,1,5
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletRequestConfiguration,1,100,6,71,2,8,0.8,80,1,16,0.941176471,94.1176471,2,6,8,0,3
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,1,100,7,257,3,27,0.9,90,0,66,1,100,3,28,31,0,16
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,1,100,9,75,3,13,0.8125,81.25,2,19,0.904761905,90.4761905,3,10,13,0,5
Apache Commons Configuration,org.apache.commons.configuration2.tree,ReferenceTracker,1,100,13,133,4,16,0.8,80,2,35,0.945945946,94.5945946,4,12,16,0,6
Apache Commons Configuration,org.apache.commons.configuration2.web,AppletConfiguration,1,100,45,0,4,0,0,0,9,0,0,0,5,0,5,3,0
