GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.map,PredicatedMap,0.89,89,0,128,0,16,1,100,1,24,0.96,96,5,16,21,0,9
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0.89,89,0,262,0,34,1,100,25,19,0.431818182,43.1818182,11,9,20,8,6
Apache Commons Collections,org.apache.commons.collections4.functors,EqualPredicate,0.9,90,3,48,0,6,1,100,4,19,0.826086957,82.6086957,2,2,4,0,2
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,0.94,94,6,112,0,8,1,100,6,8,0.571428571,57.1428571,3,4,7,1,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0.94,94,0,195,0,12,1,100,10,16,0.615384615,61.5384615,4,6,10,3,6
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,1,100,3,84,0,2,1,100,0,6,1,100,0,6,6,0,5
Apache Commons Collections,org.apache.commons.collections4.list,UnmodifiableList,1,100,0,83,0,2,1,100,0,6,1,100,0,7,7,0,5
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,1,100,0,45,0,2,1,100,0,7,1,100,0,6,6,0,4
Apache Commons Collections,org.apache.commons.collections4.properties,SortedProperties,1,100,0,35,0,2,1,100,0,7,1,100,0,6,6,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,NotNullPredicate,1,100,0,18,0,2,1,100,0,13,1,100,0,8,8,0,6
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,1,100,3,112,0,4,1,100,0,13,1,100,1,13,14,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,NullPredicate,1,100,0,18,0,2,1,100,0,15,1,100,0,8,8,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,CloneTransformer,1,100,0,18,0,2,1,100,0,15,1,100,0,8,8,0,5
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,1,100,5,113,0,8,1,100,1,4,0.8,80,3,4,7,1,4
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,1,100,0,38,0,4,1,100,1,17,0.944444444,94.4444444,1,11,12,0,11
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSetDecorator,1,100,3,24,0,4,1,100,1,19,0.95,95,1,10,11,1,5
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableMapIterator,1,100,0,51,0,4,1,100,1,23,0.958333333,95.8333333,1,11,12,1,5
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,1,100,3,137,0,4,1,100,1,25,0.961538462,96.1538462,1,14,15,1,10
